,Tool,Asymptotic pseudo-auROC value
1218,ExplaiNN,0.944
1219,RCade,0.706
1220,Best,0.894
1221,Dimont,0.964
1222,ChIPMunk,0.964
1223,ProBound,0.881
1224,MEME,0.945
1225,Autoseed,0.545
1226,Homer,0.955
1227,STREME,0.64
1228,DimontHTS,0.699
1229,ExplaiNN,0.935
1230,RCade,0.777
1231,Best,0.699
1232,Dimont,0.9
1233,ChIPMunk,0.888
1234,ProBound,0.858
1235,MEME,0.876
1236,Autoseed,0.524
1237,Homer,0.896
1238,STREME,0.977
1239,DimontHTS,0.697
1240,ExplaiNN,0.848
1241,RCade,0.631
1242,Best,0.775
1243,Dimont,0.683
1244,ChIPMunk,0.736
1245,ProBound,0.628
1246,MEME,0.615
1247,Autoseed,0.52
1248,Homer,0.592
1249,STREME,0.815
1250,DimontHTS,0.669
1251,ExplaiNN,0.636
1252,RCade,0.84
1253,Best,0.893
1254,Dimont,0.978
1255,ChIPMunk,0.978
1256,ProBound,0.67
1257,MEME,0.958
1258,Autoseed,0.738
1259,Homer,0.954
1260,STREME,0.918
1261,DimontHTS,0.724
1262,ExplaiNN,0.971
1263,RCade,0.61
1264,Best,0.89
1265,Dimont,0.839
1266,ChIPMunk,0.828
1267,ProBound,0.668
1268,MEME,0.812
1269,Autoseed,0.73
1270,Homer,0.778
1271,STREME,0.701
1272,DimontHTS,0.703
1273,ExplaiNN,0.824
1274,RCade,0.59
1275,Best,0.949
1276,Dimont,0.929
1277,ChIPMunk,0.928
1278,ProBound,0.674
1279,MEME,0.918
1280,Autoseed,0.697
1281,Homer,0.88
1282,STREME,0.669
1283,DimontHTS,0.77
1284,ExplaiNN,0.927
1285,RCade,0.638
1286,Best,0.654
1287,Dimont,0.723
1288,ChIPMunk,0.724
1289,ProBound,0.543
1290,MEME,0.71
1291,Autoseed,0.726
1292,Homer,0.661
1293,STREME,0.959
1294,DimontHTS,0.613
1295,ExplaiNN,0.701
1296,RCade,0.596
1297,Best,0.571
1298,Dimont,0.705
1299,ChIPMunk,0.703
1300,ProBound,0.543
1301,MEME,0.677
1302,Autoseed,0.687
1303,Homer,0.644
1304,STREME,0.875
1305,DimontHTS,0.602
1306,ExplaiNN,0.626
1307,RCade,0.635
1308,Best,0.921
1309,Dimont,0.972
1310,ChIPMunk,0.922
1311,ProBound,0.524
1312,MEME,0.965
1313,Autoseed,0.783
1314,Homer,0.942
1315,STREME,0.468
1316,DimontHTS,0.644
1317,ExplaiNN,0.893
1318,RCade,0.686
1319,Best,0.686
1320,Dimont,0.912
1321,ChIPMunk,0.902
1322,ProBound,0.526
1323,MEME,0.88
1324,Autoseed,0.689
1325,Homer,0.891
1326,STREME,0.583
1327,DimontHTS,0.522
1328,ExplaiNN,0.833
1329,RCade,0.695
1330,Best,0.928
1331,Dimont,0.911
1332,ChIPMunk,0.802
1333,ProBound,0.555
1334,MEME,0.485
1335,Autoseed,0.671
1336,Homer,0.512
1337,STREME,0.636
1338,DimontHTS,0.499
1339,ExplaiNN,0.7
1340,RCade,0.841
1341,Best,0.985
1342,Dimont,0.689
1343,ChIPMunk,0.833
1344,ProBound,0.724
1345,MEME,0.803
1346,Autoseed,0.723
1347,Homer,0.711
1348,STREME,0.718
1349,DimontHTS,0.853
1350,ExplaiNN,0.626
1351,RCade,0.748
1352,Best,0.889
1353,Dimont,0.682
1354,ChIPMunk,0.681
1355,ProBound,0.712
1356,MEME,0.811
1357,Autoseed,0.579
1358,Homer,0.771
1359,STREME,0.694
1360,DimontHTS,0.831
1361,ExplaiNN,0.675
1362,RCade,0.715
1363,Best,0.826
1364,Dimont,0.681
1365,ChIPMunk,0.703
1366,ProBound,0.684
1367,MEME,0.649
1368,Autoseed,0.542
1369,Homer,0.641
1370,STREME,0.63
1371,DimontHTS,0.706
1372,ExplaiNN,0.65
1373,RCade,0.769
1374,Best,0.46
1375,Dimont,0.682
1376,ChIPMunk,0.63
1377,ProBound,0.679
1378,MEME,0.69
1379,Autoseed,0.853
1380,Homer,0.675
1381,STREME,0.61
1382,DimontHTS,0.715
1383,ExplaiNN,0.692
1384,RCade,0.691
1385,Best,0.957
1386,Dimont,0.587
1387,ChIPMunk,0.605
1388,ProBound,0.649
1389,MEME,0.584
1390,Autoseed,0.827
1391,Homer,0.557
1392,STREME,0.609
1393,DimontHTS,0.72
1394,ExplaiNN,0.601
1395,RCade,0.721
1396,Best,0.643
1397,Dimont,0.572
1398,ChIPMunk,0.598
1399,ProBound,0.731
1400,MEME,0.576
1401,Autoseed,0.652
1402,Homer,0.519
1403,STREME,0.571
1404,DimontHTS,0.663
1405,ExplaiNN,0.59
1406,RCade,0.746
1407,Best,0.83
1408,Dimont,0.572
1409,ChIPMunk,0.575
1410,ProBound,0.685
1411,MEME,0.573
1412,Autoseed,0.661
1413,Homer,0.522
1414,STREME,0.591
1415,DimontHTS,0.604
1416,ExplaiNN,0.583
1417,RCade,0.712
1418,Best,0.888
1419,Dimont,0.542
1420,ChIPMunk,0.595
1421,ProBound,0.67
1422,MEME,0.542
1423,Autoseed,0.835
1424,Homer,0.474
1425,STREME,0.768
1426,DimontHTS,0.597
1427,ExplaiNN,0.547
1428,RCade,0.69
1429,Best,0.843
1430,Dimont,0.553
1431,ChIPMunk,0.795
1432,ProBound,0.712
1433,MEME,0.531
1434,Autoseed,0.697
1435,Homer,0.49
1436,STREME,0.764
1437,DimontHTS,0.6
1438,ExplaiNN,0.548
1439,RCade,0.736
1440,Best,0.899
1441,Dimont,0.757
1442,ChIPMunk,0.797
1443,ProBound,0.491
1444,MEME,0.777
1445,Autoseed,0.598
1446,Homer,0.728
1447,STREME,0.723
1448,DimontHTS,0.588
1449,ExplaiNN,0.77
1450,RCade,0.751
1451,Best,0.984
1452,Dimont,0.761
1453,ChIPMunk,0.747
1454,ProBound,0.454
1455,MEME,0.789
1456,Autoseed,0.594
1457,Homer,0.731
1458,STREME,0.715
1459,DimontHTS,0.801
1460,ExplaiNN,0.765
1461,RCade,0.768
1462,Best,0.593
1463,Dimont,0.711
1464,ChIPMunk,0.879
1465,ProBound,0.829
1466,MEME,0.739
1467,Autoseed,0.592
1468,Homer,0.69
1469,STREME,0.682
1470,DimontHTS,0.777
1471,ExplaiNN,0.721
1472,RCade,0.951
1473,Best,0.836
1474,Dimont,0.836
1475,ChIPMunk,0.803
1476,ProBound,0.81
1477,MEME,0.819
1478,Autoseed,0.578
1479,Homer,0.714
1480,STREME,0.76
1481,DimontHTS,0.817
1482,ExplaiNN,0.76
1483,RCade,0.465
1484,Best,0.933
1485,Dimont,0.781
1486,ChIPMunk,0.875
1487,ProBound,0.75
1488,MEME,0.765
1489,Autoseed,0.796
1490,Homer,0.688
1491,STREME,0.661
1492,DimontHTS,0.809
1493,ExplaiNN,0.727
1494,RCade,0.48
1495,Best,0.956
1496,Dimont,0.875
1497,ChIPMunk,0.721
1498,ProBound,0.758
1499,MEME,0.808
1500,Autoseed,0.761
1501,Homer,0.762
1502,STREME,0.663
1503,DimontHTS,0.541
1504,ExplaiNN,0.76
1505,RCade,0.679
1506,Best,0.927
1507,Dimont,0.705
1508,ChIPMunk,0.715
1509,ProBound,0.847
1510,MEME,0.724
1511,Autoseed,0.828
1512,Homer,0.694
1513,STREME,0.692
1514,DimontHTS,0.538
1515,ExplaiNN,0.7
1516,RCade,0.644
1517,Best,0.743
1518,Dimont,0.706
1519,ChIPMunk,0.744
1520,ProBound,0.697
1521,MEME,0.72
1522,Autoseed,0.814
1523,Homer,0.668
1524,STREME,0.653
1525,DimontHTS,0.588
1526,ExplaiNN,0.703
1527,RCade,0.874
1528,Best,0.941
1529,Dimont,0.723
1530,ChIPMunk,0.666
1531,ProBound,0.544
1532,MEME,0.744
1533,Autoseed,0.589
1534,Homer,0.729
1535,STREME,0.619
1536,DimontHTS,0.569
1537,ExplaiNN,0.721
1538,RCade,0.634
1539,Best,0.87
1540,Dimont,0.599
1541,ChIPMunk,0.635
1542,ProBound,0.555
1543,MEME,0.681
1544,Autoseed,0.608
1545,Homer,0.616
1546,STREME,0.862
1547,DimontHTS,0.577
1548,ExplaiNN,0.628
1549,RCade,0.916
1550,Best,0.934
1551,Dimont,0.57
1552,ChIPMunk,0.869
1553,ProBound,0.546
1554,MEME,0.674
1555,Autoseed,0.626
1556,Homer,0.589
1557,STREME,0.838
1558,DimontHTS,0.563
1559,ExplaiNN,0.613
1560,RCade,0.932
1561,Best,0.901
1562,Dimont,0.849
1563,ChIPMunk,0.846
1564,ProBound,0.551
1565,MEME,0.859
1566,Autoseed,0.605
1567,Homer,0.844
1568,STREME,0.684
1569,DimontHTS,0.371
1570,ExplaiNN,0.789
1571,RCade,0.609
1572,Best,0.81
1573,Dimont,0.83
1574,ChIPMunk,0.7
1575,ProBound,0.99
1576,MEME,0.835
1577,Autoseed,0.614
1578,Homer,0.82
1579,STREME,0.561
1580,DimontHTS,0.394
1581,ExplaiNN,0.766
1582,RCade,0.609
1583,Best,0.927
1584,Dimont,0.629
1585,ChIPMunk,0.614
1586,ProBound,0.986
1587,MEME,0.691
1588,Autoseed,0.603
1589,Homer,0.675
1590,STREME,0.636
1591,DimontHTS,0.525
1592,ExplaiNN,0.543
1593,RCade,0.532
1594,Best,0.643
1595,Dimont,0.539
1596,ChIPMunk,0.734
1597,ProBound,0.981
1598,MEME,0.609
1599,Autoseed,0.351
1600,Homer,0.562
1601,STREME,0.651
1602,DimontHTS,0.533
1603,ExplaiNN,0.514
1604,RCade,0.516
1605,Best,0.977
1606,Dimont,0.748
1607,ChIPMunk,0.747
1608,ProBound,0.984
1609,MEME,0.742
1610,Autoseed,0.368
1611,Homer,0.701
1612,STREME,0.848
1613,DimontHTS,0.519
1614,ExplaiNN,0.679
1615,RCade,0.894
1616,Best,0.86
1617,Dimont,0.751
1618,ChIPMunk,0.867
1619,ProBound,0.541
1620,MEME,0.757
1621,Autoseed,0.635
1622,Homer,0.718
1623,STREME,0.691
1624,DimontHTS,0.53
1625,ExplaiNN,0.697
1626,RCade,0.884
1627,Best,0.957
1628,Dimont,0.872
1629,ChIPMunk,0.715
1630,ProBound,0.548
1631,MEME,0.851
1632,Autoseed,0.648
1633,Homer,0.855
1634,STREME,0.598
1635,DimontHTS,0.54
1636,ExplaiNN,0.843
1637,RCade,0.451
1638,Best,0.888
1639,Dimont,0.714
1640,ChIPMunk,0.637
1641,ProBound,0.654
1642,MEME,0.694
1643,Autoseed,0.689
1644,Homer,0.696
1645,STREME,0.586
1646,DimontHTS,0.809
1647,ExplaiNN,0.69
1648,RCade,0.49
1649,Best,0.918
1650,Dimont,0.503
1651,ChIPMunk,0.633
1652,ProBound,0.653
1653,MEME,0.628
1654,Autoseed,0.601
1655,Homer,0.646
1656,STREME,0.589
1657,DimontHTS,0.508
1658,ExplaiNN,0.576
1659,RCade,0.837
1660,Best,0.774
1661,Dimont,0.49
1662,ChIPMunk,0.631
1663,ProBound,0.649
1664,MEME,0.632
1665,Autoseed,0.701
1666,Homer,0.637
1667,STREME,0.579
1668,DimontHTS,0.987
1669,ExplaiNN,0.572
1670,RCade,0.62
1671,Best,0.797
1672,Dimont,0.491
1673,ChIPMunk,0.621
1674,ProBound,0.678
1675,MEME,0.626
1676,Autoseed,0.789
1677,Homer,0.632
1678,STREME,0.763
1679,DimontHTS,0.688
1680,ExplaiNN,0.58
1681,RCade,0.645
1682,Best,0.98
1683,Dimont,0.481
1684,ChIPMunk,0.796
1685,ProBound,0.393
1686,MEME,0.616
1687,Autoseed,0.649
1688,Homer,0.622
1689,STREME,0.684
1690,DimontHTS,0.834
1691,ExplaiNN,0.568
1692,RCade,0.603
1693,Best,0.875
1694,Dimont,0.804
1695,ChIPMunk,0.718
1696,ProBound,0.409
1697,MEME,0.779
1698,Autoseed,0.986
1699,Homer,0.689
1700,STREME,0.632
1701,DimontHTS,0.983
1702,ExplaiNN,0.774
1703,RCade,0.406
1704,Best,0.732
1705,Dimont,0.719
1706,ChIPMunk,0.664
1707,ProBound,0.505
1708,MEME,0.702
1709,Autoseed,0.684
1710,Homer,0.627
1711,STREME,0.84
1712,DimontHTS,0.677
1713,ExplaiNN,0.712
1714,RCade,0.985
1715,Best,0.587
1716,Dimont,0.662
1717,ChIPMunk,0.875
1718,ProBound,0.491
1719,MEME,0.649
1720,Autoseed,0.828
1721,Homer,0.605
1722,STREME,0.796
1723,DimontHTS,0.812
1724,ExplaiNN,0.642
1725,RCade,0.882
1726,Best,0.814
1727,Dimont,0.88
1728,ChIPMunk,0.987
1729,ProBound,0.509
1730,MEME,0.853
1731,Autoseed,0.98
1732,Homer,0.774
1733,STREME,0.761
1734,DimontHTS,0.543
1735,ExplaiNN,0.859
1736,RCade,0.846
1737,Best,0.653
1738,Dimont,0.56
1739,ChIPMunk,0.987
1740,ProBound,0.479
1741,MEME,0.964
1742,Autoseed,0.675
1743,Homer,0.796
1744,STREME,0.828
1745,DimontHTS,0.575
1746,ExplaiNN,0.986
1747,RCade,0.957
1748,Best,0.991
1749,Dimont,0.51
1750,ChIPMunk,0.979
1751,ProBound,0.504
1752,MEME,0.956
1753,Autoseed,0.918
1754,Homer,0.761
1755,STREME,0.814
1756,DimontHTS,0.528
1757,ExplaiNN,0.987
1758,RCade,0.593
1759,Best,0.932
1760,Dimont,0.617
1761,ChIPMunk,0.981
1762,ProBound,0.761
1763,MEME,0.96
1764,Autoseed,0.934
1765,Homer,0.828
1766,STREME,0.613
1767,DimontHTS,0.523
1768,ExplaiNN,0.975
1769,RCade,0.817
1770,Best,0.981
1771,Dimont,0.594
1772,ChIPMunk,0.662
1773,ProBound,0.437
1774,MEME,0.96
1775,Autoseed,0.472
1776,Homer,0.813
1777,STREME,0.633
1778,DimontHTS,0.393
1779,ExplaiNN,0.976
1780,RCade,0.667
1781,Best,0.791
1782,Dimont,0.685
1783,ChIPMunk,0.677
1784,ProBound,0.952
1785,MEME,0.63
1786,Autoseed,0.509
1787,Homer,0.672
1788,STREME,0.622
1789,DimontHTS,0.532
1790,ExplaiNN,0.628
1791,RCade,0.534
1792,Best,0.836
1793,Dimont,0.699
1794,ChIPMunk,0.75
1795,ProBound,0.614
1796,MEME,0.647
1797,Autoseed,0.469
1798,Homer,0.688
1799,STREME,0.626
1800,DimontHTS,0.874
1801,ExplaiNN,0.61
1802,RCade,0.527
1803,Best,0.946
1804,Dimont,0.669
1805,ChIPMunk,0.746
1806,ProBound,0.752
1807,MEME,0.635
1808,Autoseed,0.468
1809,Homer,0.641
1810,STREME,0.617
1811,DimontHTS,0.892
1812,ExplaiNN,0.736
1813,RCade,0.842
1814,Best,0.77
1815,Dimont,0.663
1816,ChIPMunk,0.739
1817,ProBound,0.94
1818,MEME,0.621
1819,Autoseed,0.565
1820,Homer,0.652
1821,STREME,0.608
1822,DimontHTS,0.723
1823,ExplaiNN,0.733
1824,RCade,0.567
1825,Best,0.955
1826,Dimont,0.643
1827,ChIPMunk,0.809
1828,ProBound,0.632
1829,MEME,0.633
1830,Autoseed,0.637
1831,Homer,0.648
1832,STREME,0.616
1833,DimontHTS,0.492
1834,ExplaiNN,0.726
1835,RCade,0.469
1836,Best,0.911
1837,Dimont,0.79
1838,ChIPMunk,0.726
1839,ProBound,0.741
1840,MEME,0.639
1841,Autoseed,0.906
1842,Homer,0.721
1843,STREME,0.551
1844,DimontHTS,0.492
1845,ExplaiNN,0.813
1846,RCade,0.527
1847,Best,0.903
1848,Dimont,0.541
1849,ChIPMunk,0.675
1850,ProBound,0.873
1851,MEME,0.672
1852,Autoseed,0.921
1853,Homer,0.612
1854,STREME,0.356
1855,DimontHTS,0.52
1856,ExplaiNN,0.668
1857,RCade,0.591
1858,Best,0.754
1859,Dimont,0.502
1860,ChIPMunk,0.35
1861,ProBound,0.538
1862,MEME,0.635
1863,Autoseed,0.868
1864,Homer,0.602
1865,STREME,0.369
1866,DimontHTS,0.5
1867,ExplaiNN,0.646
1868,RCade,0.613
1869,Best,0.915
1870,Dimont,0.406
1871,ChIPMunk,0.373
1872,ProBound,0.579
1873,MEME,0.347
1874,Autoseed,0.826
1875,Homer,0.397
1876,STREME,0.682
1877,DimontHTS,0.53
1878,ExplaiNN,0.528
1879,RCade,0.49
1880,Best,0.888
1881,Dimont,0.413
1882,ChIPMunk,0.678
1883,ProBound,0.526
1884,MEME,0.37
1885,Autoseed,0.593
1886,Homer,0.413
1887,STREME,0.689
1888,DimontHTS,0.524
1889,ExplaiNN,0.528
1890,RCade,0.588
1891,Best,0.895
1892,Dimont,0.6
1893,ChIPMunk,0.694
1894,ProBound,0.519
1895,MEME,0.558
1896,Autoseed,0.46
1897,Homer,0.678
1898,STREME,0.715
1899,DimontHTS,0.694
1900,ExplaiNN,0.556
1901,RCade,0.574
1902,Best,0.979
1903,Dimont,0.617
1904,ChIPMunk,0.71
1905,ProBound,0.403
1906,MEME,0.575
1907,Autoseed,0.455
1908,Homer,0.691
1909,STREME,0.654
1910,DimontHTS,0.72
1911,ExplaiNN,0.538
1912,RCade,0.576
1913,Best,0.745
1914,Dimont,0.625
1915,ChIPMunk,0.654
1916,ProBound,0.475
1917,MEME,0.591
1918,Autoseed,0.674
1919,Homer,0.715
1920,STREME,0.721
1921,DimontHTS,0.761
1922,ExplaiNN,0.571
1923,RCade,0.697
1924,Best,0.712
1925,Dimont,0.57
1926,ChIPMunk,0.729
1927,ProBound,0.845
1928,MEME,0.537
1929,Autoseed,0.651
1930,Homer,0.651
1931,STREME,0.799
1932,DimontHTS,0.767
1933,ExplaiNN,0.555
1934,RCade,0.924
1935,Best,0.849
1936,Dimont,0.638
1937,ChIPMunk,0.7
1938,ProBound,0.869
1939,MEME,0.609
1940,Autoseed,0.692
1941,Homer,0.723
1942,STREME,0.565
1943,DimontHTS,0.545
1944,ExplaiNN,0.547
1945,RCade,0.735
1946,Best,0.617
1947,Dimont,0.795
1948,ChIPMunk,0.581
1949,ProBound,0.818
1950,MEME,0.823
1951,Autoseed,0.657
1952,Homer,0.788
1953,STREME,0.976
1954,DimontHTS,0.59
1955,ExplaiNN,0.815
1956,RCade,0.735
1957,Best,0.718
1958,Dimont,0.47
1959,ChIPMunk,0.992
1960,ProBound,0.698
1961,MEME,0.69
1962,Autoseed,0.695
1963,Homer,0.61
1964,STREME,0.698
1965,DimontHTS,0.603
1966,ExplaiNN,0.6
1967,RCade,0.547
1968,Best,0.9
1969,Dimont,0.984
1970,ChIPMunk,0.732
1971,ProBound,0.46
1972,MEME,0.979
1973,Autoseed,0.716
1974,Homer,0.979
1975,STREME,0.816
1976,DimontHTS,0.509
1977,ExplaiNN,0.992
1978,RCade,0.817
1979,Dimont,0.691
1980,ChIPMunk,0.857
1981,ProBound,0.426
1982,MEME,0.711
1983,Autoseed,0.731
1984,Homer,0.673
1985,STREME,0.971
1986,DimontHTS,0.544
1987,ExplaiNN,0.727
1988,RCade,0.521
1989,Dimont,0.875
1990,ChIPMunk,0.989
1991,ProBound,0.702
1992,MEME,0.827
1993,Autoseed,0.741
1994,Homer,0.809
1995,STREME,0.695
1996,DimontHTS,0.563
1997,ExplaiNN,0.857
1998,RCade,0.511
1999,Dimont,0.98
2000,ChIPMunk,0.725
2001,ProBound,0.648
2002,MEME,0.974
2003,Autoseed,0.625
2004,Homer,0.967
2005,STREME,0.947
2006,DimontHTS,0.593
2007,ExplaiNN,0.99
2008,RCade,0.702
2009,Dimont,0.698
2010,ChIPMunk,0.903
2011,ProBound,0.621
2012,MEME,0.707
2013,Autoseed,0.694
2014,Homer,0.664
2015,STREME,0.925
2016,DimontHTS,0.6
2017,ExplaiNN,0.723
2018,RCade,0.685
2019,Dimont,0.892
2020,ChIPMunk,0.931
2021,ProBound,0.671
2022,MEME,0.953
2023,Autoseed,0.516
2024,Homer,0.901
2025,STREME,0.479
2026,DimontHTS,0.537
2027,ExplaiNN,0.853
2028,RCade,0.576
2029,Dimont,0.93
2030,ChIPMunk,0.529
2031,ProBound,0.633
2032,MEME,0.925
2033,Autoseed,0.399
2034,Homer,0.834
2035,STREME,0.426
2036,DimontHTS,0.657
2037,ExplaiNN,0.939
2038,RCade,0.591
2039,Dimont,0.569
2040,ChIPMunk,0.574
2041,ProBound,0.71
2042,MEME,0.519
2043,Autoseed,0.433
2044,Homer,0.522
2045,STREME,0.891
2046,DimontHTS,0.56
2047,ExplaiNN,0.484
2048,RCade,0.584
2049,Dimont,0.582
2050,ChIPMunk,0.527
2051,ProBound,0.73
2052,MEME,0.563
2053,Autoseed,0.442
2054,Homer,0.567
2055,STREME,0.914
2056,DimontHTS,0.486
2057,ExplaiNN,0.515
2058,RCade,0.577
2059,Dimont,0.551
2060,ChIPMunk,0.529
2061,ProBound,0.736
2062,MEME,0.521
2063,Autoseed,0.584
2064,Homer,0.512
2065,STREME,0.911
2066,DimontHTS,0.716
2067,ExplaiNN,0.479
2068,RCade,0.608
2069,Dimont,0.554
2070,ChIPMunk,0.609
2071,ProBound,0.746
2072,MEME,0.52
2073,Autoseed,0.589
2074,Homer,0.526
2075,STREME,0.836
2076,DimontHTS,0.846
2077,ExplaiNN,0.481
2078,Dimont,0.559
2079,ChIPMunk,0.498
2080,ProBound,0.566
2081,MEME,0.484
2082,Autoseed,0.525
2083,Homer,0.538
2084,STREME,0.896
2085,DimontHTS,0.759
2086,ExplaiNN,0.506
2087,Dimont,0.441
2088,ChIPMunk,0.923
2089,ProBound,0.64
2090,MEME,0.43
2091,Autoseed,0.682
2092,Homer,0.502
2093,STREME,0.697
2094,DimontHTS,0.719
2095,ExplaiNN,0.461
2096,Dimont,0.919
2097,ChIPMunk,0.942
2098,ProBound,0.598
2099,MEME,0.825
2100,Autoseed,0.544
2101,Homer,0.803
2102,STREME,0.685
2103,DimontHTS,0.778
2104,ExplaiNN,0.849
2105,Dimont,0.938
2106,ChIPMunk,0.905
2107,ProBound,0.539
2108,MEME,0.855
2109,Autoseed,0.491
2110,Homer,0.835
2111,STREME,0.748
2112,DimontHTS,0.679
2113,ExplaiNN,0.876
2114,Dimont,0.901
2115,ChIPMunk,0.841
2116,ProBound,0.564
2117,MEME,0.883
2118,Autoseed,0.674
2119,Homer,0.865
2120,STREME,0.624
2121,DimontHTS,0.734
2122,ExplaiNN,0.843
2123,Dimont,0.835
2124,ChIPMunk,0.898
2125,ProBound,0.596
2126,MEME,0.814
2127,Autoseed,0.807
2128,Homer,0.812
2129,STREME,0.311
2130,DimontHTS,0.751
2131,ExplaiNN,0.794
2132,Dimont,0.931
2133,ChIPMunk,0.707
2134,ProBound,0.744
2135,MEME,0.897
2136,Autoseed,0.717
2137,Homer,0.861
2138,STREME,0.329
2139,DimontHTS,0.722
2140,ExplaiNN,0.932
2141,Dimont,0.678
2142,ChIPMunk,0.743
2143,ProBound,0.745
2144,MEME,0.639
2145,Autoseed,0.677
2146,Homer,0.659
2147,STREME,0.799
2148,DimontHTS,0.69
2149,ExplaiNN,0.562
2150,Dimont,0.727
2151,ChIPMunk,0.809
2152,ProBound,0.524
2153,MEME,0.684
2154,Autoseed,0.723
2155,Homer,0.676
2156,STREME,0.669
2157,DimontHTS,0.748
2158,ExplaiNN,0.624
2159,Dimont,0.808
2160,ChIPMunk,0.643
2161,ProBound,0.628
2162,MEME,0.754
2163,Autoseed,0.654
2164,Homer,0.728
2165,STREME,0.649
2166,DimontHTS,0.763
2167,ExplaiNN,0.638
2168,Dimont,0.637
2169,ChIPMunk,0.642
2170,ProBound,0.516
2171,MEME,0.621
2172,Autoseed,0.681
2173,Homer,0.6
2174,STREME,0.683
2175,DimontHTS,0.774
2176,ExplaiNN,0.549
2177,Dimont,0.479
2178,ChIPMunk,0.591
2179,ProBound,0.475
2180,MEME,0.536
2181,Autoseed,0.712
2182,Homer,0.422
2183,STREME,0.649
2184,DimontHTS,0.489
2185,ExplaiNN,0.482
2186,Dimont,0.461
2187,ChIPMunk,0.831
2188,ProBound,0.727
2189,MEME,0.546
2190,Autoseed,0.687
2191,Homer,0.427
2192,STREME,0.785
2193,DimontHTS,0.53
2194,ExplaiNN,0.475
2195,Dimont,0.868
2196,ChIPMunk,0.669
2197,ProBound,0.847
2198,MEME,0.82
2199,Autoseed,0.658
2200,Homer,0.74
2201,STREME,0.801
2202,DimontHTS,0.583
2203,ExplaiNN,0.78
2204,Dimont,0.646
2205,ChIPMunk,0.649
2206,ProBound,0.761
2207,MEME,0.692
2208,Autoseed,0.707
2209,Homer,0.657
2210,STREME,0.753
2211,DimontHTS,0.607
2212,ExplaiNN,0.676
2213,Dimont,0.614
2214,ChIPMunk,0.689
2215,ProBound,0.729
2216,MEME,0.665
2217,Autoseed,0.734
2218,Homer,0.633
2219,STREME,0.763
2220,DimontHTS,0.641
2221,ExplaiNN,0.651
2222,Dimont,0.667
2223,ChIPMunk,0.664
2224,ProBound,0.778
2225,MEME,0.706
2226,Autoseed,0.735
2227,Homer,0.682
2228,STREME,0.635
2229,DimontHTS,0.565
2230,ExplaiNN,0.69
2231,Dimont,0.626
2232,ChIPMunk,0.783
2233,ProBound,0.685
2234,MEME,0.672
2235,Autoseed,0.502
2236,Homer,0.647
2237,STREME,0.68
2238,DimontHTS,0.59
2239,ExplaiNN,0.65
2240,Dimont,0.754
2241,ChIPMunk,0.798
2242,ProBound,0.738
2243,MEME,0.784
2244,Autoseed,0.53
2245,Homer,0.796
2246,STREME,0.568
2247,DimontHTS,0.674
2248,ExplaiNN,0.738
2249,Dimont,0.765
2250,ChIPMunk,0.772
2251,ProBound,0.756
2252,MEME,0.802
2253,Autoseed,0.436
2254,Homer,0.808
2255,STREME,0.526
2256,DimontHTS,0.68
2257,ExplaiNN,0.758
2258,Dimont,0.702
2259,ChIPMunk,0.78
2260,ProBound,0.73
2261,MEME,0.722
2262,Autoseed,0.509
2263,Homer,0.757
2264,STREME,0.539
2265,DimontHTS,0.705
2266,ExplaiNN,0.665
2267,Dimont,0.711
2268,ChIPMunk,0.634
2269,ProBound,0.695
2270,MEME,0.731
2271,Autoseed,0.616
2272,Homer,0.768
2273,STREME,0.558
2274,DimontHTS,0.697
2275,ExplaiNN,0.668
2276,Dimont,0.592
2277,ChIPMunk,0.669
2278,ProBound,0.757
2279,MEME,0.631
2280,Autoseed,0.329
2281,Homer,0.638
2282,STREME,0.73
2283,DimontHTS,0.595
2284,ExplaiNN,0.531
2285,Dimont,0.663
2286,ChIPMunk,0.663
2287,ProBound,0.768
2288,MEME,0.691
2289,Autoseed,0.325
2290,Homer,0.671
2291,STREME,0.739
2292,DimontHTS,0.706
2293,ExplaiNN,0.598
2294,Dimont,0.595
2295,ChIPMunk,0.522
2296,ProBound,0.78
2297,MEME,0.541
2298,Autoseed,0.622
2299,Homer,0.582
2300,STREME,0.415
2301,DimontHTS,0.727
2302,ExplaiNN,0.8
2303,Dimont,0.521
2304,ChIPMunk,0.563
2305,ProBound,0.525
2306,MEME,0.519
2307,Autoseed,0.648
2308,Homer,0.557
2309,STREME,0.543
2310,DimontHTS,0.744
2311,ExplaiNN,0.706
2312,Dimont,0.551
2313,ChIPMunk,0.595
2314,ProBound,0.555
2315,MEME,0.531
2316,Autoseed,0.867
2317,Homer,0.552
2318,STREME,0.909
2319,DimontHTS,0.773
2320,ExplaiNN,0.719
2321,Dimont,0.581
2322,ChIPMunk,0.728
2323,ProBound,0.604
2324,MEME,0.559
2325,Autoseed,0.633
2326,Homer,0.587
2327,STREME,0.845
2328,DimontHTS,0.589
2329,ExplaiNN,0.755
2330,Dimont,0.763
2331,ChIPMunk,0.724
2332,ProBound,0.62
2333,MEME,0.731
2334,Autoseed,0.587
2335,Homer,0.723
2336,STREME,0.692
2337,DimontHTS,0.633
2338,ExplaiNN,0.745
2339,Dimont,0.761
2340,ChIPMunk,0.496
2341,ProBound,0.586
2342,MEME,0.735
2343,Autoseed,0.715
2344,Homer,0.72
2345,STREME,0.833
