,Tool,Delta auROC value
616,Autoseed,-0.33899999999999997
617,Homer,-0.11099999999999999
618,STREME,-0.11399999999999999
619,DimontHTS,-0.10799999999999998
620,ExplaiNN,-0.129
621,Best,-0.10199999999999998
622,Dimont,-0.11499999999999999
623,ChIPMunk,-0.09599999999999997
624,ProBound,-0.11599999999999999
625,MEME,-0.06899999999999995
626,Autoseed,-0.34099999999999997
627,Homer,-0.13
628,STREME,-0.09399999999999997
629,DimontHTS,-0.119
630,ExplaiNN,-0.119
631,Best,-0.20499999999999996
632,Dimont,-0.06699999999999995
633,ChIPMunk,-0.07199999999999995
634,ProBound,-0.06699999999999995
635,MEME,-0.33499999999999996
636,Autoseed,-0.06000000000000005
637,Homer,-0.31699999999999995
638,STREME,-0.377
639,DimontHTS,-0.06699999999999995
640,ExplaiNN,-0.134
641,Best,-0.34099999999999997
642,Dimont,-0.20099999999999996
643,ChIPMunk,-0.06099999999999994
644,ProBound,-0.18400000000000005
645,MEME,-0.262
646,Autoseed,-0.04500000000000004
647,Homer,-0.136
648,STREME,-0.18500000000000005
649,DimontHTS,-0.33999999999999997
650,ExplaiNN,-0.486
651,Best,-0.02200000000000002
652,Dimont,-0.15800000000000003
653,ChIPMunk,-0.11699999999999999
654,ProBound,-0.15700000000000003
655,MEME,-0.10899999999999999
656,Autoseed,-0.031000000000000028
657,Homer,-0.07599999999999996
658,STREME,-0.07399999999999995
659,DimontHTS,-0.266
660,ExplaiNN,-0.30200000000000005
661,Best,-0.08699999999999997
662,Dimont,-0.08799999999999997
663,ChIPMunk,-0.15700000000000003
664,ProBound,-0.09699999999999998
665,MEME,-0.08699999999999997
666,Autoseed,-0.061999999999999944
667,Homer,-0.06000000000000005
668,STREME,-0.09099999999999997
669,DimontHTS,-0.06399999999999995
670,ExplaiNN,-0.06799999999999995
671,Best,-0.14900000000000002
672,Dimont,-0.07299999999999995
673,ChIPMunk,-0.05400000000000005
674,ProBound,-0.08399999999999996
675,MEME,-0.09699999999999998
676,Autoseed,-0.19499999999999995
677,Homer,-0.134
678,STREME,-0.04200000000000004
679,DimontHTS,-0.040000000000000036
680,ExplaiNN,-0.04300000000000004
681,Best,-0.15700000000000003
682,Dimont,-0.030000000000000027
683,ChIPMunk,-0.20599999999999996
684,ProBound,-0.02200000000000002
685,MEME,-0.10099999999999998
686,Autoseed,-0.08999999999999997
687,Homer,-0.16600000000000004
688,STREME,-0.08399999999999996
689,DimontHTS,-0.02300000000000002
690,ExplaiNN,-0.04700000000000004
691,Best,-0.08199999999999996
692,Dimont,-0.05400000000000005
693,ChIPMunk,-0.262
694,ProBound,-0.04500000000000004
695,MEME,-0.44799999999999995
696,Autoseed,-0.10999999999999999
697,Homer,-0.37
698,STREME,-0.41900000000000004
699,DimontHTS,-0.04300000000000004
700,ExplaiNN,-0.07499999999999996
701,Best,-0.134
702,Dimont,-0.139
703,ChIPMunk,-0.15300000000000002
704,ProBound,-0.19899999999999995
705,MEME,-0.15200000000000002
706,Autoseed,-0.31599999999999995
707,Homer,-0.401
708,STREME,-0.645
709,DimontHTS,-0.17500000000000004
710,ExplaiNN,-0.126
711,Best,-0.23399999999999999
712,Dimont,-0.05800000000000005
713,ChIPMunk,-0.48
714,ProBound,-0.06000000000000005
715,MEME,-0.19599999999999995
716,Autoseed,-0.128
717,Homer,-0.14600000000000002
718,STREME,-0.11299999999999999
719,DimontHTS,-0.08199999999999996
720,ExplaiNN,-0.06099999999999994
721,Best,-0.013000000000000012
722,Dimont,-0.11199999999999999
723,ChIPMunk,-0.27
724,ProBound,-0.135
725,MEME,-0.235
726,Autoseed,-0.277
727,Homer,-0.253
728,STREME,-0.245
729,DimontHTS,-0.08599999999999997
730,ExplaiNN,-0.15300000000000002
731,Best,-0.14100000000000001
732,Dimont,-0.275
733,ChIPMunk,-0.139
734,ProBound,-0.126
735,MEME,-0.128
736,Autoseed,-0.276
737,Homer,-0.128
738,STREME,-0.139
739,DimontHTS,-0.259
740,ExplaiNN,-0.354
741,Best,-0.16200000000000003
742,Dimont,-0.10499999999999998
743,ChIPMunk,-0.136
744,ProBound,-0.09699999999999998
745,MEME,-0.28200000000000003
746,Autoseed,-0.20299999999999996
747,Homer,-0.28700000000000003
748,STREME,-0.28800000000000003
749,DimontHTS,-0.10999999999999999
750,ExplaiNN,-0.245
751,Best,-0.04800000000000004
752,Dimont,-0.268
753,ChIPMunk,-0.134
754,ProBound,-0.20899999999999996
755,MEME,-0.262
756,Autoseed,-0.08499999999999996
757,Homer,-0.275
758,STREME,-0.30100000000000005
759,DimontHTS,-0.251
760,ExplaiNN,-0.31000000000000005
761,Best,-0.038000000000000034
762,Dimont,-0.21299999999999997
763,ChIPMunk,-0.049000000000000044
764,ProBound,-0.22599999999999998
765,MEME,-0.17200000000000004
766,Autoseed,-0.09799999999999998
767,Homer,-0.131
768,STREME,-0.17500000000000004
769,DimontHTS,-0.21299999999999997
770,ExplaiNN,-0.369
771,Best,-0.07999999999999996
772,Dimont,-0.134
773,ChIPMunk,-0.345
774,ProBound,-0.131
775,MEME,-0.10799999999999998
776,Autoseed,-0.04300000000000004
777,Homer,-0.14900000000000002
778,STREME,-0.11299999999999999
779,DimontHTS,-0.19699999999999995
780,ExplaiNN,-0.14500000000000002
781,Best,-0.14500000000000002
782,Dimont,-0.11199999999999999
783,ChIPMunk,-0.20499999999999996
784,ProBound,-0.09899999999999998
785,MEME,-0.14400000000000002
786,Autoseed,-0.369
787,Homer,-0.133
788,STREME,-0.121
789,DimontHTS,-0.10399999999999998
790,ExplaiNN,-0.11699999999999999
791,Best,-0.09999999999999998
792,Dimont,-0.08399999999999996
793,ChIPMunk,-0.30400000000000005
794,ProBound,-0.06999999999999995
795,MEME,-0.07999999999999996
796,Autoseed,-0.269
797,Homer,-0.14
798,STREME,-0.5489999999999999
799,DimontHTS,-0.06499999999999995
800,ExplaiNN,-0.122
801,Best,-0.29600000000000004
802,Dimont,-0.09599999999999997
803,ChIPMunk,-0.06399999999999995
804,ProBound,-0.04700000000000004
805,MEME,-0.497
806,Autoseed,-0.33999999999999997
807,Homer,-0.5589999999999999
808,STREME,-0.571
809,DimontHTS,-0.04500000000000004
810,ExplaiNN,-0.06699999999999995
811,Best,-0.0050000000000000044
812,Dimont,-0.43300000000000005
813,ChIPMunk,-0.236
