,Tool,auROC value
1220,Best,0.885
1221,Dimont,0.952
1222,ChIPMunk,0.961
1223,ProBound,0.966
1224,MEME,0.945
1225,Autoseed,0.744
1226,Homer,0.945
1227,STREME,0.936
1228,DimontHTS,0.779
1229,ExplaiNN,0.921
1230,RCade,0.717
1231,Best,0.902
1232,Dimont,0.905
1233,ChIPMunk,0.901
1234,ProBound,0.959
1235,MEME,0.887
1236,Autoseed,0.732
1237,Homer,0.891
1238,STREME,0.884
1239,DimontHTS,0.745
1240,ExplaiNN,0.872
1241,RCade,0.779
1242,Best,0.85
1243,Dimont,0.732
1244,ChIPMunk,0.691
1245,ProBound,0.899
1246,MEME,0.666
1247,Autoseed,0.733
1248,Homer,0.687
1249,STREME,0.682
1250,DimontHTS,0.887
1251,ExplaiNN,0.687
1252,RCade,0.636
1253,Best,0.94
1254,Dimont,0.987
1255,ChIPMunk,0.976
1256,ProBound,0.856
1257,MEME,0.97
1258,Autoseed,0.666
1259,Homer,0.966
1260,STREME,0.976
1261,DimontHTS,0.89
1262,ExplaiNN,0.957
1263,RCade,0.859
1264,Best,0.969
1265,Dimont,0.881
1266,ChIPMunk,0.82
1267,ProBound,0.81
1268,MEME,0.811
1269,Autoseed,0.661
1270,Homer,0.78
1271,STREME,0.809
1272,DimontHTS,0.846
1273,ExplaiNN,0.834
1274,RCade,0.869
1275,Best,0.995
1276,Dimont,0.949
1277,ChIPMunk,0.929
1278,ProBound,0.76
1279,MEME,0.923
1280,Autoseed,0.864
1281,Homer,0.89
1282,STREME,0.917
1283,DimontHTS,0.613
1284,ExplaiNN,0.913
1285,RCade,0.875
1286,Best,0.829
1287,Dimont,0.847
1288,ChIPMunk,0.784
1289,ProBound,0.597
1290,MEME,0.769
1291,Autoseed,0.869
1292,Homer,0.73
1293,STREME,0.765
1294,DimontHTS,0.611
1295,ExplaiNN,0.783
1296,RCade,0.88
1297,Best,0.92
1298,Dimont,0.786
1299,ChIPMunk,0.742
1300,ProBound,0.597
1301,MEME,0.744
1302,Autoseed,0.841
1303,Homer,0.757
1304,STREME,0.764
1305,DimontHTS,0.675
1306,ExplaiNN,0.7
1307,RCade,0.877
1308,Best,0.919
1309,Dimont,0.977
1310,ChIPMunk,0.972
1311,ProBound,0.585
1312,MEME,0.974
1313,Autoseed,0.707
1314,Homer,0.967
1315,STREME,0.975
1316,DimontHTS,0.743
1317,ExplaiNN,0.934
1318,RCade,0.747
1319,Best,0.726
1320,Dimont,0.965
1321,ChIPMunk,0.967
1322,ProBound,0.538
1323,MEME,0.953
1324,Autoseed,0.678
1325,Homer,0.958
1326,STREME,0.957
1327,DimontHTS,0.785
1328,ExplaiNN,0.913
1329,RCade,0.699
1330,Best,0.951
1331,Dimont,0.705
1332,ChIPMunk,0.917
1333,ProBound,0.527
1334,MEME,0.578
1335,Autoseed,0.751
1336,Homer,0.636
1337,STREME,0.608
1338,DimontHTS,0.753
1339,ExplaiNN,0.547
1340,RCade,0.945
1341,Best,0.973
1342,Dimont,0.901
1343,ChIPMunk,0.912
1344,ProBound,0.872
1345,MEME,0.918
1346,Autoseed,0.847
1347,Homer,0.885
1348,STREME,0.888
1349,DimontHTS,0.826
1350,ExplaiNN,0.793
1351,RCade,0.964
1352,Best,0.949
1353,Dimont,0.86
1354,ChIPMunk,0.838
1355,ProBound,0.872
1356,MEME,0.897
1357,Autoseed,0.822
1358,Homer,0.882
1359,STREME,0.847
1360,DimontHTS,0.831
1361,ExplaiNN,0.846
1362,RCade,0.937
1363,Best,0.943
1364,Dimont,0.851
1365,ChIPMunk,0.776
1366,ProBound,0.841
1367,MEME,0.822
1368,Autoseed,0.858
1369,Homer,0.816
1370,STREME,0.808
1371,DimontHTS,0.944
1372,ExplaiNN,0.712
1373,RCade,0.943
1374,Best,0.698
1375,Dimont,0.785
1376,ChIPMunk,0.81
1377,ProBound,0.644
1378,MEME,0.777
1379,Autoseed,0.886
1380,Homer,0.785
1381,STREME,0.78
1382,DimontHTS,0.949
1383,ExplaiNN,0.757
1384,RCade,0.937
1385,Best,0.99
1386,Dimont,0.796
1387,ChIPMunk,0.788
1388,ProBound,0.643
1389,MEME,0.79
1390,Autoseed,0.889
1391,Homer,0.807
1392,STREME,0.807
1393,DimontHTS,0.862
1394,ExplaiNN,0.784
1395,RCade,0.94
1396,Best,0.937
1397,Dimont,0.785
1398,ChIPMunk,0.786
1399,ProBound,0.702
1400,MEME,0.771
1401,Autoseed,0.937
1402,Homer,0.786
1403,STREME,0.784
1404,DimontHTS,0.862
1405,ExplaiNN,0.772
1406,RCade,0.947
1407,Best,0.924
1408,Dimont,0.783
1409,ChIPMunk,0.769
1410,ProBound,0.83
1411,MEME,0.776
1412,Autoseed,0.942
1413,Homer,0.784
1414,STREME,0.78
1415,DimontHTS,0.872
1416,ExplaiNN,0.768
1417,RCade,0.952
1418,Best,0.944
1419,Dimont,0.783
1420,ChIPMunk,0.737
1421,ProBound,0.832
1422,MEME,0.72
1423,Autoseed,0.868
1424,Homer,0.771
1425,STREME,0.767
1426,DimontHTS,0.859
1427,ExplaiNN,0.729
1428,RCade,0.949
1429,Best,0.932
1430,Dimont,0.775
1431,ChIPMunk,0.887
1432,ProBound,0.838
1433,MEME,0.718
1434,Autoseed,0.863
1435,Homer,0.738
1436,STREME,0.742
1437,DimontHTS,0.592
1438,ExplaiNN,0.719
1439,RCade,0.928
1440,Best,0.897
1441,Dimont,0.91
1442,ChIPMunk,0.888
1443,ProBound,0.918
1444,MEME,0.882
1445,Autoseed,0.993
1446,Homer,0.877
1447,STREME,0.887
1448,DimontHTS,0.626
1449,ExplaiNN,0.878
1450,RCade,0.895
1451,Best,0.994
1452,Dimont,0.904
1453,ChIPMunk,0.857
1454,ProBound,0.919
1455,MEME,0.881
1456,Autoseed,0.987
1457,Homer,0.878
1458,STREME,0.886
1459,DimontHTS,0.607
1460,ExplaiNN,0.872
1461,RCade,0.939
1462,Best,0.755
1463,Dimont,0.866
1464,ChIPMunk,0.809
1465,ProBound,0.945
1466,MEME,0.845
1467,Autoseed,0.646
1468,Homer,0.844
1469,STREME,0.855
1470,DimontHTS,0.601
1471,ExplaiNN,0.848
1472,RCade,0.945
1473,Best,0.849
1474,Dimont,0.843
1475,ChIPMunk,0.732
1476,ProBound,0.951
1477,MEME,0.761
1478,Autoseed,0.673
1479,Homer,0.726
1480,STREME,0.712
1481,DimontHTS,0.993
1482,ExplaiNN,0.703
1483,RCade,0.98
1484,Best,0.955
1485,Dimont,0.78
1486,ChIPMunk,0.789
1487,ProBound,0.874
1488,MEME,0.673
1489,Autoseed,0.656
1490,Homer,0.689
1491,STREME,0.67
1492,DimontHTS,0.992
1493,ExplaiNN,0.675
1494,RCade,0.356
1495,Best,0.963
1496,Dimont,0.858
1497,ChIPMunk,0.883
1498,ProBound,0.879
1499,MEME,0.722
1500,Autoseed,0.656
1501,Homer,0.711
1502,STREME,0.706
1503,DimontHTS,0.984
1504,ExplaiNN,0.658
1505,RCade,0.37
1506,Best,0.63
1507,Dimont,0.917
1508,ChIPMunk,0.888
1509,ProBound,0.986
1510,MEME,0.887
1511,Autoseed,0.994
1512,Homer,0.825
1513,STREME,0.875
1514,DimontHTS,0.978
1515,ExplaiNN,0.881
1516,RCade,0.847
1517,Best,0.949
1518,Dimont,0.905
1519,ChIPMunk,0.885
1520,ProBound,0.976
1521,MEME,0.89
1522,Autoseed,0.994
1523,Homer,0.814
1524,STREME,0.857
1525,DimontHTS,0.672
1526,ExplaiNN,0.882
1527,RCade,0.89
1528,Best,0.795
1529,Dimont,0.916
1530,ChIPMunk,0.86
1531,ProBound,0.639
1532,MEME,0.889
1533,Autoseed,0.988
1534,Homer,0.835
1535,STREME,0.876
1536,DimontHTS,0.657
1537,ExplaiNN,0.882
1538,RCade,0.892
1539,Best,0.958
1540,Dimont,0.9
1541,ChIPMunk,0.867
1542,ProBound,0.675
1543,MEME,0.858
1544,Autoseed,0.982
1545,Homer,0.899
1546,STREME,0.848
1547,DimontHTS,0.635
1548,ExplaiNN,0.86
1549,RCade,0.629
1550,Best,0.972
1551,Dimont,0.899
1552,ChIPMunk,0.953
1553,ProBound,0.648
1554,MEME,0.864
1555,Autoseed,0.752
1556,Homer,0.902
1557,STREME,0.851
1558,DimontHTS,0.627
1559,ExplaiNN,0.866
1560,RCade,0.91
1561,Best,0.936
1562,Dimont,0.969
1563,ChIPMunk,0.955
1564,ProBound,0.636
1565,MEME,0.952
1566,Autoseed,0.743
1567,Homer,0.941
1568,STREME,0.945
1569,DimontHTS,0.663
1570,ExplaiNN,0.943
1571,RCade,0.915
1572,Best,0.96
1573,Dimont,0.97
1574,ChIPMunk,0.706
1575,ProBound,0.994
1576,MEME,0.957
1577,Autoseed,0.642
1578,Homer,0.943
1579,STREME,0.948
1580,DimontHTS,0.635
1581,ExplaiNN,0.942
1582,RCade,0.789
1583,Best,0.821
1584,Dimont,0.691
1585,ChIPMunk,0.613
1586,ProBound,0.994
1587,MEME,0.709
1588,Autoseed,0.636
1589,Homer,0.696
1590,STREME,0.69
1591,DimontHTS,0.639
1592,ExplaiNN,0.547
1593,RCade,0.819
1594,Best,0.887
1595,Dimont,0.627
1596,ChIPMunk,0.887
1597,ProBound,0.988
1598,MEME,0.638
1599,Autoseed,0.666
1600,Homer,0.572
1601,STREME,0.56
1602,DimontHTS,0.642
1603,ExplaiNN,0.542
1604,RCade,0.81
1605,Best,0.805
1606,Dimont,0.917
1607,ChIPMunk,0.886
1608,ProBound,0.981
1609,MEME,0.875
1610,Autoseed,0.636
1611,Homer,0.878
1612,STREME,0.871
1613,DimontHTS,0.677
1614,ExplaiNN,0.848
1615,RCade,0.727
1616,Best,0.984
1617,Dimont,0.916
1618,ChIPMunk,0.994
1619,ProBound,0.667
1620,MEME,0.875
1621,Autoseed,0.68
1622,Homer,0.88
1623,STREME,0.873
1624,DimontHTS,0.676
1625,ExplaiNN,0.854
1626,RCade,0.701
1627,Best,0.823
1628,Dimont,0.996
1629,ChIPMunk,0.988
1630,ProBound,0.657
1631,MEME,0.993
1632,Autoseed,0.653
1633,Homer,0.99
1634,STREME,0.993
1635,DimontHTS,0.638
1636,ExplaiNN,0.993
1637,RCade,0.883
1638,Best,0.961
1639,Dimont,0.99
1640,ChIPMunk,0.723
1641,ProBound,0.752
1642,MEME,0.987
1643,Autoseed,0.747
1644,Homer,0.985
1645,STREME,0.987
1646,DimontHTS,0.685
1647,ExplaiNN,0.989
1648,RCade,0.879
1649,Best,0.919
1650,Dimont,0.681
1651,ChIPMunk,0.694
1652,ProBound,0.794
1653,MEME,0.721
1654,Autoseed,0.841
1655,Homer,0.735
1656,STREME,0.68
1657,DimontHTS,0.665
1658,ExplaiNN,0.585
1659,RCade,0.646
1660,Best,0.717
1661,Dimont,0.652
1662,ChIPMunk,0.694
1663,ProBound,0.764
1664,MEME,0.685
1665,Autoseed,0.805
1666,Homer,0.699
1667,STREME,0.692
1668,DimontHTS,0.943
1669,ExplaiNN,0.547
1670,RCade,0.663
1671,Best,0.8
1672,Dimont,0.646
1673,ChIPMunk,0.71
1674,ProBound,0.754
1675,MEME,0.686
1676,Autoseed,0.773
1677,Homer,0.699
1678,STREME,0.68
1679,DimontHTS,0.928
1680,ExplaiNN,0.562
1681,RCade,0.953
1682,Best,0.796
1683,Dimont,0.667
1684,ChIPMunk,0.968
1685,ProBound,0.739
1686,MEME,0.705
1687,Autoseed,0.811
1688,Homer,0.717
1689,STREME,0.68
1690,DimontHTS,0.978
1691,ExplaiNN,0.566
1692,RCade,0.8
1693,Best,0.973
1694,Dimont,0.972
1695,ChIPMunk,0.981
1696,ProBound,0.709
1697,MEME,0.937
1698,Autoseed,0.818
1699,Homer,0.871
1700,STREME,0.929
1701,DimontHTS,0.973
1702,ExplaiNN,0.946
1703,RCade,0.807
1704,Best,0.909
1705,Dimont,0.98
1706,ChIPMunk,0.93
1707,ProBound,0.631
1708,MEME,0.946
1709,Autoseed,0.811
1710,Homer,0.889
1711,STREME,0.942
1712,DimontHTS,0.964
1713,ExplaiNN,0.961
1714,RCade,0.695
1715,Best,0.951
1716,Dimont,0.945
1717,ChIPMunk,0.981
1718,ProBound,0.645
1719,MEME,0.894
1720,Autoseed,0.988
1721,Homer,0.818
1722,STREME,0.883
1723,DimontHTS,0.977
1724,ExplaiNN,0.9
1725,RCade,0.533
1726,Best,0.865
1727,Dimont,0.983
1728,ChIPMunk,0.993
1729,ProBound,0.637
1730,MEME,0.947
1731,Autoseed,0.97
1732,Homer,0.884
1733,STREME,0.944
1734,DimontHTS,0.969
1735,ExplaiNN,0.963
1736,RCade,0.969
1737,Best,0.867
1738,Dimont,0.994
1739,ChIPMunk,0.991
1740,ProBound,0.634
1741,MEME,0.994
1742,Autoseed,0.957
1743,Homer,0.994
1744,STREME,0.994
1745,DimontHTS,0.872
1746,ExplaiNN,0.992
1747,RCade,0.939
1748,Best,0.778
1749,Dimont,0.994
1750,ChIPMunk,0.985
1751,ProBound,0.632
1752,MEME,0.993
1753,Autoseed,0.98
1754,Homer,0.993
1755,STREME,0.993
1756,DimontHTS,0.853
1757,ExplaiNN,0.991
1758,RCade,0.925
1759,Best,0.882
1760,Dimont,0.988
1761,ChIPMunk,0.978
1762,ProBound,0.943
1763,MEME,0.988
1764,Autoseed,0.965
1765,Homer,0.988
1766,STREME,0.988
1767,DimontHTS,0.849
1768,ExplaiNN,0.983
1769,RCade,0.989
1770,Best,0.998
1771,Dimont,0.982
1772,ChIPMunk,0.794
1773,ProBound,0.933
1774,MEME,0.981
1775,Autoseed,0.884
1776,Homer,0.981
1777,STREME,0.982
1778,DimontHTS,0.874
1779,ExplaiNN,0.975
1780,RCade,0.689
1781,Best,0.924
1782,Dimont,0.835
1783,ChIPMunk,0.799
1784,ProBound,0.982
1785,MEME,0.761
1786,Autoseed,0.993
1787,Homer,0.766
1788,STREME,0.764
1789,DimontHTS,0.863
1790,ExplaiNN,0.69
1791,RCade,0.916
1792,Best,0.98
1793,Dimont,0.838
1794,ChIPMunk,0.691
1795,ProBound,0.94
1796,MEME,0.751
1797,Autoseed,0.821
1798,Homer,0.772
1799,STREME,0.761
1800,DimontHTS,0.599
1801,ExplaiNN,0.681
1802,RCade,0.613
1803,Best,0.882
1804,Dimont,0.759
1805,ChIPMunk,0.721
1806,ProBound,0.937
1807,MEME,0.664
1808,Autoseed,0.826
1809,Homer,0.766
1810,STREME,0.672
1811,DimontHTS,0.808
1812,ExplaiNN,0.697
1813,RCade,0.925
1814,Best,0.901
1815,Dimont,0.797
1816,ChIPMunk,0.706
1817,ProBound,0.973
1818,MEME,0.675
1819,Autoseed,0.847
1820,Homer,0.808
1821,STREME,0.695
1822,DimontHTS,0.926
1823,ExplaiNN,0.724
1824,RCade,0.975
1825,Best,0.963
1826,Dimont,0.761
1827,ChIPMunk,0.707
1828,ProBound,0.938
1829,MEME,0.679
1830,Autoseed,0.839
1831,Homer,0.772
1832,STREME,0.662
1833,DimontHTS,0.935
1834,ExplaiNN,0.711
1835,RCade,0.865
1836,Best,0.782
1837,Dimont,0.772
1838,ChIPMunk,0.745
1839,ProBound,0.691
1840,MEME,0.661
1841,Autoseed,0.565
1842,Homer,0.775
1843,STREME,0.633
1844,DimontHTS,0.757
1845,ExplaiNN,0.701
1846,RCade,0.695
1847,Best,0.955
1848,Dimont,0.807
1849,ChIPMunk,0.739
1850,ProBound,0.952
1851,MEME,0.767
1852,Autoseed,0.74
1853,Homer,0.718
1854,STREME,0.71
1855,DimontHTS,0.906
1856,ExplaiNN,0.821
1857,RCade,0.784
1858,Best,0.956
1859,Dimont,0.811
1860,ChIPMunk,0.691
1861,ProBound,0.856
1862,MEME,0.761
1863,Autoseed,0.935
1864,Homer,0.719
1865,STREME,0.711
1866,DimontHTS,0.916
1867,ExplaiNN,0.81
1868,RCade,0.602
1869,Best,0.89
1870,Dimont,0.731
1871,ChIPMunk,0.676
1872,ProBound,0.854
1873,MEME,0.697
1874,Autoseed,0.953
1875,Homer,0.696
1876,STREME,0.678
1877,DimontHTS,0.814
1878,ExplaiNN,0.622
1879,RCade,0.881
1880,Best,0.89
1881,Dimont,0.71
1882,ChIPMunk,0.77
1883,ProBound,0.876
1884,MEME,0.676
1885,Autoseed,0.873
1886,Homer,0.665
1887,STREME,0.651
1888,DimontHTS,0.815
1889,ExplaiNN,0.605
1890,RCade,0.843
1891,Best,0.998
1892,Dimont,0.787
1893,ChIPMunk,0.85
1894,ProBound,0.87
1895,MEME,0.725
1896,Autoseed,0.914
1897,Homer,0.763
1898,STREME,0.763
1899,DimontHTS,0.828
1900,ExplaiNN,0.718
1901,RCade,0.734
1902,Best,0.936
1903,Dimont,0.814
1904,ChIPMunk,0.789
1905,ProBound,0.62
1906,MEME,0.828
1907,Autoseed,0.703
1908,Homer,0.846
1909,STREME,0.835
1910,DimontHTS,0.834
1911,ExplaiNN,0.706
1912,RCade,0.72
1913,Best,0.965
1914,Dimont,0.767
1915,ChIPMunk,0.801
1916,ProBound,0.702
1917,MEME,0.787
1918,Autoseed,0.904
1919,Homer,0.785
1920,STREME,0.778
1921,DimontHTS,0.854
1922,ExplaiNN,0.702
1923,RCade,0.704
1924,Best,0.975
1925,Dimont,0.798
1926,ChIPMunk,0.819
1927,ProBound,0.849
1928,MEME,0.759
1929,Autoseed,0.907
1930,Homer,0.79
1931,STREME,0.787
1932,DimontHTS,0.873
1933,ExplaiNN,0.724
1934,RCade,0.649
1935,Best,0.87
1936,Dimont,0.785
1937,ChIPMunk,0.853
1938,ProBound,0.873
1939,MEME,0.799
1940,Autoseed,0.874
1941,Homer,0.808
1942,STREME,0.804
1943,DimontHTS,0.903
1944,ExplaiNN,0.698
1945,RCade,0.668
1946,Best,0.881
1947,Dimont,0.949
1948,ChIPMunk,0.831
1949,ProBound,0.823
1950,MEME,0.878
1951,Autoseed,0.876
1952,Homer,0.896
1953,STREME,0.906
1954,DimontHTS,0.912
1955,ExplaiNN,0.939
1956,RCade,0.913
1957,Best,0.86
1958,Dimont,0.939
1959,ChIPMunk,0.991
1960,ProBound,0.75
1961,MEME,0.859
1962,Autoseed,0.874
1963,Homer,0.888
1964,STREME,0.89
1965,DimontHTS,0.728
1966,ExplaiNN,0.923
1967,RCade,0.823
1968,Best,0.864
1969,Dimont,0.992
1970,ChIPMunk,0.974
1971,ProBound,0.938
1972,MEME,0.986
1973,Autoseed,0.877
1974,Homer,0.99
1975,STREME,0.982
1976,DimontHTS,0.671
1977,ExplaiNN,0.991
1978,RCade,0.876
1979,Dimont,0.978
1980,ChIPMunk,0.963
1981,ProBound,0.939
1982,MEME,0.969
1983,Autoseed,0.853
1984,Homer,0.954
1985,STREME,0.965
1986,DimontHTS,0.693
1987,ExplaiNN,0.967
1988,RCade,0.87
1989,Dimont,0.981
1990,ChIPMunk,0.979
1991,ProBound,0.836
1992,MEME,0.961
1993,Autoseed,0.872
1994,Homer,0.942
1995,STREME,0.954
1996,DimontHTS,0.778
1997,ExplaiNN,0.96
1998,RCade,0.871
1999,Dimont,0.985
2000,ChIPMunk,0.969
2001,ProBound,0.88
2002,MEME,0.973
2003,Autoseed,0.89
2004,Homer,0.978
2005,STREME,0.97
2006,DimontHTS,0.742
2007,ExplaiNN,0.984
2008,RCade,0.583
2009,Dimont,0.975
2010,ChIPMunk,0.905
2011,ProBound,0.884
2012,MEME,0.964
2013,Autoseed,0.896
2014,Homer,0.95
2015,STREME,0.96
2016,DimontHTS,0.749
2017,ExplaiNN,0.962
2018,RCade,0.579
2019,Dimont,0.925
2020,ChIPMunk,0.994
2021,ProBound,0.89
2022,MEME,0.872
2023,Autoseed,0.735
2024,Homer,0.883
2025,STREME,0.879
2026,DimontHTS,0.817
2027,ExplaiNN,0.886
2028,RCade,0.687
2029,Dimont,0.991
2030,ChIPMunk,0.824
2031,ProBound,0.887
2032,MEME,0.985
2033,Autoseed,0.675
2034,Homer,0.953
2035,STREME,0.991
2036,DimontHTS,0.839
2037,ExplaiNN,0.994
2038,RCade,0.683
2039,Dimont,0.848
2040,ChIPMunk,0.822
2041,ProBound,0.885
2042,MEME,0.819
2043,Autoseed,0.641
2044,Homer,0.837
2045,STREME,0.823
2046,DimontHTS,0.815
2047,ExplaiNN,0.799
2048,RCade,0.731
2049,Dimont,0.845
2050,ChIPMunk,0.844
2051,ProBound,0.902
2052,MEME,0.817
2053,Autoseed,0.674
2054,Homer,0.838
2055,STREME,0.824
2056,DimontHTS,0.794
2057,ExplaiNN,0.786
2058,RCade,0.748
2059,Dimont,0.86
2060,ChIPMunk,0.834
2061,ProBound,0.92
2062,MEME,0.84
2063,Autoseed,0.649
2064,Homer,0.86
2065,STREME,0.822
2066,DimontHTS,0.747
2067,ExplaiNN,0.816
2068,RCade,0.745
2069,Dimont,0.867
2070,ChIPMunk,0.873
2071,ProBound,0.925
2072,MEME,0.829
2073,Autoseed,0.664
2074,Homer,0.854
2075,STREME,0.85
2076,DimontHTS,0.775
2077,ExplaiNN,0.798
2078,RCade,0.73
2079,Dimont,0.88
2080,ChIPMunk,0.644
2081,ProBound,0.746
2082,MEME,0.763
2083,Autoseed,0.823
2084,Homer,0.74
2085,STREME,0.759
2086,DimontHTS,0.934
2087,ExplaiNN,0.694
2088,RCade,0.728
2089,Dimont,0.652
2090,ChIPMunk,0.953
2091,ProBound,0.712
2092,MEME,0.563
2093,Autoseed,0.839
2094,Homer,0.633
2095,STREME,0.551
2096,DimontHTS,0.953
2097,ExplaiNN,0.508
2098,Dimont,0.965
2099,ChIPMunk,0.969
2100,ProBound,0.702
2101,MEME,0.921
2102,Autoseed,0.81
2103,Homer,0.937
2104,STREME,0.925
2105,DimontHTS,0.921
2106,ExplaiNN,0.918
2107,Dimont,0.976
2108,ChIPMunk,0.934
2109,ProBound,0.806
2110,MEME,0.924
2111,Autoseed,0.803
2112,Homer,0.954
2113,STREME,0.941
2114,DimontHTS,0.926
2115,ExplaiNN,0.934
2116,Dimont,0.933
2117,ChIPMunk,0.946
2118,ProBound,0.753
2119,MEME,0.902
2120,Autoseed,0.72
2121,Homer,0.887
2122,STREME,0.917
2123,DimontHTS,0.916
2124,ExplaiNN,0.88
2125,Dimont,0.955
2126,ChIPMunk,0.881
2127,ProBound,0.759
2128,MEME,0.93
2129,Autoseed,0.743
2130,Homer,0.941
2131,STREME,0.944
2132,DimontHTS,0.92
2133,ExplaiNN,0.936
2134,Dimont,0.947
2135,ChIPMunk,0.785
2136,ProBound,0.866
2137,MEME,0.911
2138,Autoseed,0.916
2139,Homer,0.878
2140,STREME,0.915
2141,DimontHTS,0.929
2142,ExplaiNN,0.912
2143,Dimont,0.785
2144,ChIPMunk,0.75
2145,ProBound,0.884
2146,MEME,0.787
2147,Autoseed,0.942
2148,Homer,0.8
2149,STREME,0.791
2150,DimontHTS,0.938
2151,ExplaiNN,0.641
2152,Dimont,0.773
2153,ChIPMunk,0.812
2154,ProBound,0.827
2155,MEME,0.698
2156,Autoseed,0.9
2157,Homer,0.715
2158,STREME,0.7
2159,DimontHTS,0.934
2160,ExplaiNN,0.649
2161,Dimont,0.849
2162,ChIPMunk,0.66
2163,ProBound,0.817
2164,MEME,0.756
2165,Autoseed,0.908
2166,Homer,0.745
2167,STREME,0.755
2168,DimontHTS,0.907
2169,ExplaiNN,0.666
2170,Dimont,0.714
2171,ChIPMunk,0.779
2172,ProBound,0.683
2173,MEME,0.636
2174,Autoseed,0.9
2175,Homer,0.642
2176,STREME,0.634
2177,DimontHTS,0.859
2178,ExplaiNN,0.602
2179,Dimont,0.931
2180,ChIPMunk,0.779
2181,ProBound,0.697
2182,MEME,0.75
2183,Autoseed,0.911
2184,Homer,0.867
2185,STREME,0.788
2186,DimontHTS,0.934
2187,ExplaiNN,0.849
2188,Dimont,0.931
2189,ChIPMunk,0.774
2190,ProBound,0.936
2191,MEME,0.759
2192,Autoseed,0.914
2193,Homer,0.874
2194,STREME,0.787
2195,DimontHTS,0.926
2196,ExplaiNN,0.856
2197,Dimont,0.901
2198,ChIPMunk,0.88
2199,ProBound,0.953
2200,MEME,0.838
2201,Autoseed,0.917
2202,Homer,0.892
2203,STREME,0.883
2204,DimontHTS,0.734
2205,ExplaiNN,0.853
2206,Dimont,0.895
2207,ChIPMunk,0.885
2208,ProBound,0.922
2209,MEME,0.882
2210,Autoseed,0.917
2211,Homer,0.88
2212,STREME,0.885
2213,DimontHTS,0.782
2214,ExplaiNN,0.852
2215,Dimont,0.9
2216,ChIPMunk,0.892
2217,ProBound,0.928
2218,MEME,0.88
2219,Autoseed,0.894
2220,Homer,0.885
2221,STREME,0.885
2222,DimontHTS,0.792
2223,ExplaiNN,0.857
2224,Dimont,0.905
2225,ChIPMunk,0.887
2226,ProBound,0.916
2227,MEME,0.881
2228,Autoseed,0.852
2229,Homer,0.889
2230,STREME,0.888
2231,DimontHTS,0.852
2232,ExplaiNN,0.859
2233,Dimont,0.905
2234,ChIPMunk,0.899
2235,ProBound,0.922
2236,MEME,0.877
2237,Autoseed,0.92
2238,Homer,0.885
2239,STREME,0.887
2240,DimontHTS,0.657
2241,ExplaiNN,0.853
2242,Dimont,0.894
2243,ChIPMunk,0.909
2244,ProBound,0.929
2245,MEME,0.904
2246,Autoseed,0.91
2247,Homer,0.892
2248,STREME,0.89
2249,DimontHTS,0.806
2250,ExplaiNN,0.895
2251,Dimont,0.907
2252,ChIPMunk,0.854
2253,ProBound,0.938
2254,MEME,0.914
2255,Autoseed,0.697
2256,Homer,0.902
2257,STREME,0.9
2258,DimontHTS,0.774
2259,ExplaiNN,0.902
2260,Dimont,0.924
2261,ChIPMunk,0.866
2262,ProBound,0.936
2263,MEME,0.878
2264,Autoseed,0.744
2265,Homer,0.886
2266,STREME,0.868
2267,DimontHTS,0.871
2268,ExplaiNN,0.827
2269,Dimont,0.921
2270,ChIPMunk,0.74
2271,ProBound,0.909
2272,MEME,0.884
2273,Autoseed,0.686
2274,Homer,0.898
2275,STREME,0.872
2276,DimontHTS,0.866
2277,ExplaiNN,0.824
2278,Dimont,0.786
2279,ChIPMunk,0.688
2280,ProBound,0.861
2281,MEME,0.75
2282,Autoseed,0.765
2283,Homer,0.745
2284,STREME,0.721
2285,DimontHTS,0.717
2286,ExplaiNN,0.713
2287,Dimont,0.745
2288,ChIPMunk,0.677
2289,ProBound,0.936
2290,MEME,0.697
2291,Autoseed,0.609
2292,Homer,0.696
2293,STREME,0.674
2294,DimontHTS,0.813
2295,ExplaiNN,0.664
2296,Dimont,0.689
2297,ChIPMunk,0.74
2298,ProBound,0.928
2299,MEME,0.693
2300,Autoseed,0.817
2301,Homer,0.706
2302,STREME,0.683
2303,DimontHTS,0.675
2304,ExplaiNN,0.711
2305,Dimont,0.77
2306,ChIPMunk,0.711
2307,ProBound,0.813
2308,MEME,0.759
2309,Autoseed,0.788
2310,Homer,0.731
2311,STREME,0.713
2312,DimontHTS,0.925
2313,ExplaiNN,0.764
2314,Dimont,0.738
2315,ChIPMunk,0.713
2316,ProBound,0.839
2317,MEME,0.736
2318,Autoseed,0.882
2319,Homer,0.717
2320,STREME,0.695
2321,DimontHTS,0.934
2322,ExplaiNN,0.732
2323,Dimont,0.747
2324,ChIPMunk,0.857
2325,ProBound,0.814
2326,MEME,0.751
2327,Autoseed,0.861
2328,Homer,0.722
2329,STREME,0.705
2330,DimontHTS,0.834
2331,ExplaiNN,0.749
2332,Dimont,0.885
2333,ChIPMunk,0.873
2334,ProBound,0.873
2335,MEME,0.852
2336,Autoseed,0.86
2337,Homer,0.844
2338,STREME,0.848
2339,DimontHTS,0.857
2340,ExplaiNN,0.842
2341,Dimont,0.904
2342,ChIPMunk,0.779
2343,ProBound,0.649
2344,MEME,0.867
2345,Autoseed,0.828
2346,Homer,0.859
2347,STREME,0.867
2348,DimontHTS,0.668
